	Country.Name	FSI	gdp_growth	employment	water_access	real_interest_rate	energy_use	death_rate	internet_users	net_flow_ext_debt	tax_rate	infant_deaths	electro_access	import_good_serv	urban_population	school_primary_enr	sanit_facil	tax_income	sci_articles	employment
82	Jamaica	67.4	-1.4800268965969	55.5	93.7	9.62379603179906	1000.7945521520501	7.99	27.67	3149220000.0	48.7	725	92.0	49.54657192041449	53.743	105.25319197518485	81.6	116953842666.0	46.6	55.5
83	Jordan	77.0	2.33683030118537	37.0999984741211	96.9	0.564496799763151	1175.01521667218	3.7239999999999998	27.2	1550875000.0	31.2	3261	99.4	69.0298827854319	82.473	98.78912353515629	98.5	624600000.0	378.0	37.0999984741211
84	Japan	31.3	4.65203014349022	57.0999984741211	100.0	3.84599837132833	3894.8070664480397	9.5	78.21	4168681745.762712	47.7	2596	100.0	13.9762396959769	90.522	102.199501037598	100.0	22009100000000.0	47043.1	57.0999984741211
85	Kazakhstan	72.7	7.3000000001620196	67.40000152587889	93.2	5.02405073343827	4234.926567469171	8.97	31.6	12294749000.0	29.4	7220	100.0	29.8940863973107	53.732	104.573799133301	97.4	1353034743860.0757	83.3	67.40000152587889
86	Kenya	100.7	8.40227706370247	60.2999992370605	60.0	12.0258980022724	491.17154987365797	9.164	14.0	231621000.0	49.3	60817	23.0	33.5702415138228	23.570999999999998	105.25319197518485	29.2	219496844198.0	275.8	60.2999992370605
87	Kyrgyz Republic	88.4	-0.47156684750859795	60.5999984741211	86.1	19.544972444311302	505.402265092972	6.6	16.3	-20037000.0	30.6	3807	100.0	81.6785278167149	35.303000000000004	99.5622100830078	92.8	10385497000.0	16.5	60.5999984741211
88	Cambodia	88.7	5.963078575386961	82.099998474121	64.2	5.02405073343827	349.769479571466	6.122000000000001	1.26	312546000.0	22.6	13992	31.1	59.520935444235604	19.81	129.88815307617202	33.6	800395654196.0	22.4	82.099998474121
89	Korea, Rep.	41.3	6.49678516888552	58.0999984741211	97.6	2.2781903614354597	5059.50144145866	5.1	83.7	4168681745.762712	28.8	1753	99.7	46.2346005873669	81.936	103.24181365966801	100.0	74730072000000.0	24106.4	58.0999984741211
90	Kuwait	61.5	-2.3670619439377405	66.40000152587889	99.0	-5.62590035028875	10525.556198731	2.983	61.4	4168681745.762712	10.7	672	94.1	30.3545138773425	98.26299999999999	105.25319197518485	100.0	1353034743860.0757	191.6	66.40000152587889
91	Lao PDR	88.7	8.52690551718889	76.5	67.5	11.4472090918447	2572.608479264877	6.407	7.0	-113466000.0	31.4	10840	66.0	37.908636028751296	33.123000000000005	123.18994140625	58.7	1620570808000.0	17.2	76.5
92	Lebanon	90.9	7.9960862787684	43.7999992370605	97.7	8.16417273190659	1471.53803091242	4.414	43.68	-122125000.0	30.2	427	99.9	61.8568935427574	87.18299999999999	103.403182983398	80.9	2049800000000.0	264.8	43.7999992370605
93	Liberia	91.7	6.0999460491908595	58.9000015258789	71.1	8.31372263666449	2572.608479264877	9.447000000000001	2.3	9806000.0	42.5	9298	4.1	82.1282751812786	47.801	105.25319197518485	15.6	982590.7403665291	1.8	58.9000015258789
94	Libya	69.1	5.02128973900766	43.2999992370605	86.4758620689655	-7.14873116194334	3281.07663042116	4.1739999999999995	14.0	4168681745.762712	46.589940828402376	2070	100.0	42.097484243531106	77.642	105.25319197518485	96.6	1353034743860.0757	33.3	43.2999992370605
95	Sri Lanka	95.7	8.015959405752241	52.2999992370605	91.1	2.7199417729416298	469.76768508207	6.986000000000001	12.0	3292629000.0	96.6	3369	85.1	30.684744608594	18.320999999999998	99.0498504638672	91.7	135622500000.0	131.2	52.2999992370605
96	Lesotho	82.2	7.867081634044549	49.4000015258789	80.8	8.64510542825822	2572.608479264877	16.031	3.86	27117000.0	14.2	4269	17.0	111.38634466139601	24.753	110.469383239746	28.5	1353034743860.0757	4.8	49.4000015258789
97	Lithuania	47.8	1.61893217977007	48.2999992370605	95.0	3.60284107294931	2275.92676417582	13.6	62.12	4168681745.762712	45.1	183	100.0	67.2829475774339	66.757	101.523788452148	90.5	1870400000.0	356.3	48.2999992370605
98	Luxembourg	27.3	5.14467318091263	54.5	100.0	5.02405073343827	8321.8917730046	7.4	90.62	4168681745.762712	20.0	11	100.0	147.059241874689	88.54700000000001	97.24195098876949	97.6	4863800982.4225	149.4	54.5
99	Latvia	55.4	-2.87360969587182	47.9000015258789	98.9	11.1413328499055	2213.6377830378697	14.3	68.42	4168681745.762712	37.5	180	100.0	54.43877635983149	67.692	106.031303405762	85.6	267745000.0	133.9	47.9000015258789
100	Morocco	77.0	3.64297476421523	45.5	83.5	5.02405073343827	527.337848361107	6.325	52.0	3107853000.0	49.6	19654	98.9	43.068016873660895	57.684	111.671752929688	73.8	62668090296.7348	350.4	45.5
101	Moldova	83.8	7.09407176187239	38.0	87.4	4.7560661512282305	955.9851152919181	13.862	32.3	513545000.0	30.4	697	98.6	78.545214851056	44.886	93.54077911376949	75.3	215600000.0	64.9	38.0
102	Madagascar	82.6	0.263110855703317	85.8000030517578	46.9	36.9555465743411	2572.608479264877	7.398	1.7	-64983000.0	37.7	30814	14.3	43.0485942737592	31.929000000000002	144.57731628418	11.4	490294000000.0	40.5	85.8000030517578
103	Maldives	78.3	7.196444634693179	58.0	98.3	9.891601739741631	2572.608479264877	3.4760000000000004	26.53	151795000.0	9.3	81	99.9	72.5926886624268	39.984	105.25319197518485	97.3	203300000.0	1.5	58.0
104	Mexico	76.1	5.11019873147265	58.0	94.1	0.7671033501404371	1486.02706672172	4.488	31.05	61008588000.0	50.5	33891	99.0	31.0748840108474	77.825	103.50412750244101	82.3	1353034743860.0757	3118.079651162792	58.0
105	Macedonia, FYR	72.7	3.35876011375913	37.7999992370605	99.4	7.29318555621437	1397.84905570724	9.417	51.9	109409000.0	8.1	187	99.0	58.091315722073794	56.992	90.09117889404301	90.8	96277000000.0	59.4	37.7999992370605
106	Mali	79.3	5.81931483040954	60.4000015258789	66.9	5.02405073343827	2572.608479264877	14.036	2.0	252581000.0	51.4	56161	16.6	39.8814145844674	35.996	90.3107070922852	22.4	204565000000.0	23.8	60.4000015258789
107	Malta	48.2	4.2999999999999305	47.2999992370605	100.0	3.1966032318249797	2048.02802358459	7.3	63.0	4168681745.762712	46.589940828402376	22	100.0	84.76564401252492	94.665	95.2353668212891	100.0	770180142.47	33.4	47.2999992370605
108	Myanmar	99.4	4.4309525049418985	75.6999969482422	78.1	5.02405073343827	270.86529833474	8.472999999999999	0.25	-3960000.0	46.589940828402376	44646	48.8	47.216126759295705	31.405	114.16488647460899	76.6	1353034743860.0757	7.5	75.6999969482422
109	Montenegro	57.3	2.46372841285111	40.7999992370605	98.9	7.78516384872651	1898.2884209302802	10.175	37.5	-686984000.0	28.1	52	100.0	63.113128673858796	63.096000000000004	111.155242919922	93.5	1353034743860.0757	25.9	40.7999992370605
110	Mongolia	60.1	6.36516168494001	57.2999992370605	62.9	-13.730174652913101	1265.75973298504	6.807	10.2	2925428000.0	24.4	1670	86.2	56.67104929862	67.567	125.67478179931601	56.5	813754434890.0	38.9	57.2999992370605
111	Mozambique	81.7	6.76781203912462	77.599998474121	48.5	6.54242189294476	406.98803529739195	15.023	4.17	288690000.0	37.5	69913	15.0	38.4407882484403	30.955	111.73249816894501	18.8	18434559038.6	24.1	77.599998474121
112	Mauritania	89.1	4.77369717040534	36.9000015258789	54.3	-1.5794114769461203	2572.608479264877	8.971	4.0	472543000.0	68.2	8596	18.2	61.1755104188786	56.681999999999995	97.10858154296879	35.7	1353034743860.0757	3.0	36.9000015258789
113	Mauritius	44.4	4.100201814727701	54.2000007629395	99.7	6.9684351780066	1053.4524952015402	7.3	28.33	492046000.0	27.2	189	100.0	63.7687602366547	40.579	107.248733520508	92.7	13976300000.0	24.8	54.2000007629395
